id,edo,mes,anio,mpio,hora,minutos,dia,diasemana,urbana,suburbana,tipaccid,automovil,campasaj,microbus,pascamion,omnibus,tranvia,camioneta,camion,tractor,ferrocarri,motociclet,bicicleta,otrovehic,causaacci,caparod,sexo,aliento,cinturon,edad,condmuerto,condherido,pasamuerto,pasaherido,peatmuerto,peatherido,ciclmuerto,ciclherido,otromuerto,otroherido,totmuertos,totheridos,clase,calle1,calle2,carretera,longitud,latitud,fechahora,severidad,hay_muertos,hay_heridos,solo_daños_materiales,severidad_cat,franja_horaria,geometry,edge_u,edge_v,edge_key,distancia_edge
566,9,1,2019,2,10,10,20,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,54,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA GUELATAO,CALLE BATALLÓN DE ZACAPOAXTLA,NAN,-99.03826,19.3808,2019-01-20 10:10:00,0,False,False,True,leve,Mañana,POINT (-99.03826 19.3808),8032929572,2344451166,0,3.8606860430728145
567,9,1,2019,2,11,40,22,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,44,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 10 SUR (RÍO MAGDALENA),AVENIDA REVOLUCIÓN,NAN,-99.1921,19.33865,2019-01-22 11:40:00,0,False,False,True,leve,Mañana,POINT (-99.1921 19.33865),6106232686,318087987,0,0.08567236602755121
568,9,1,2019,2,12,0,22,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,7,43,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 3 NORTE (CUITLÁHUAC),CALLE 12,NAN,-99.15442,19.47337,2019-01-22 12:00:00,0,False,False,True,leve,Tarde,POINT (-99.15442 19.47337),386244368,1865208063,0,5.700012687425881
569,9,1,2019,2,7,45,23,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,66,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE SALUBRIDAD,CALLE PROCURADURÍA GENERAL DE JUSTICIA,NAN,-99.08943,19.42167,2019-01-23 07:45:00,0,False,False,True,leve,Mañana,POINT (-99.08943 19.42167),274434226,274433902,0,0.11744966968883297
570,9,1,2019,2,20,30,23,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,7,33,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 4 NORTE (AVENIDA FORTUNA),CALLE RIOBAMBA,NAN,-99.1311,19.48346,2019-01-23 20:30:00,0,False,False,True,leve,Noche,POINT (-99.1311 19.48346),1983086000,2131785331,0,2.194369439689504
571,9,1,2019,2,23,0,24,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA 602 (AVENIDA TEXCOCO-VÍA TAPO),CALLE 639,NAN,-99.06219,19.44852,2019-01-24 23:00:00,0,False,False,True,leve,Noche,POINT (-99.06219 19.44852),8887174470,8887174474,0,6.798690634390164
572,9,1,2019,2,8,0,25,5,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,5,7,39,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 1 NORTE (NORTE 17),CIRCUITO INTERIOR (BOULEVARD PUERTO AÉREO),NAN,-99.09242,19.42681,2019-01-25 08:00:00,0,False,False,True,leve,Mañana,POINT (-99.09242 19.42681),1096514225,2978343082,0,2.0586576717100096
573,9,1,2019,2,14,15,28,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,24,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 5 NORTE (CALZADA SAN JUAN DE ARAGÓN),AVENIDA GRAN CANAL DEL DESAGÜE,NAN,-99.09181,19.47659,2019-01-28 14:15:00,0,False,False,True,leve,Tarde,POINT (-99.09181 19.47659),8251241209,1420647777,0,1.9150636181694902
574,9,1,2019,2,14,45,28,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,46,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA AVENIDA DE LAS GRANJAS,CALLE SALOMÓN,NAN,-99.17515,19.4768,2019-01-28 14:45:00,0,False,False,True,leve,Tarde,POINT (-99.17515 19.4768),2937943936,2937943935,0,0.12968234350404464
575,9,1,2019,2,14,45,28,1,1,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,7,28,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA CEYLÁN,CALLE 15,NAN,-99.16265,19.47634,2019-01-28 14:45:00,0,False,False,True,leve,Tarde,POINT (-99.16265 19.47634),386246528,386248056,0,1.5013149365102902
