centroid_lat,centroid_lon,n_accidentes,gi_score,hot_spot,riesgo_hotspot
19.390759999999997,-99.24206289,62,-0.28142210412290386,No significativo,50.0
19.400760000000002,-99.24206289000001,11,-0.3844953913818897,No significativo,50.0
19.41076,-99.24206289,3,-0.4528333583924261,No significativo,50.0
19.230759999999997,-99.23206289000001,2,-0.8618039985350394,No significativo,50.0
19.240759999999998,-99.23206289,2,-0.8575753508526195,No significativo,50.0
19.27076,-99.23206289,14,-0.4863940542846478,No significativo,50.0
19.28076,-99.23206289000001,31,-0.32899439055012814,No significativo,50.0
19.29076,-99.23206289,34,-0.2884698502602705,No significativo,50.0
19.300759999999997,-99.23206289000001,22,-0.20918270621489687,No significativo,50.0
19.310759999999995,-99.23206289,44,-0.04259961569532359,No significativo,50.0
19.32076,-99.23206289000001,51,-0.1651342928563557,No significativo,50.0
