edge_u,edge_v,edge_key,accidentes_totales,severidad_total,muertos_totales,heridos_totales,accidentes_graves,distancia_prom_edge
30383489,3248442437,0,1,3,0,1,0,4.385329053811764
30383493,3248442438,0,1,0,0,0,0,5.064478250872838
30383842,268663687,0,8,3,0,1,0,1.3338722251944528
30383842,310600030,0,1,0,0,0,0,1.743522106192765
30383969,6099372041,0,1,3,0,1,0,1.40255200734616
30383984,4153728597,0,2,6,0,2,0,0.6833519117274448
30384007,5834344847,0,1,3,0,1,0,2.0886068071178174
30384069,276454071,0,2,3,0,1,0,0.23026753867716154
30384070,30880050,0,2,3,0,1,0,1.8061364037245748
30384070,4151485783,0,1,0,0,0,0,0.8052107680184052
30384131,274993688,0,19,6,0,2,0,4.618043914838475
30384131,2716409563,0,3,0,0,0,0,7.873310770982961
30384235,319655058,0,1,0,0,0,0,3.2391022263105835
30384235,8218840005,0,1,0,0,0,0,6.362291182243498
30384242,294196013,0,3,0,0,0,0,0.7909734588854637
30384242,319142378,0,2,3,0,1,0,1.266167582906181
30384244,293963785,0,1,0,0,0,0,1.0128017849128175
30384249,1119113976,0,6,15,0,5,0,0.5543540510900514
30384249,8208177159,0,3,10,1,0,1,0.7133273998740498
30384273,275512612,0,5,9,0,3,0,2.1515646253747085
30384338,30825112,0,2,3,0,1,0,4.2256655408398
30384352,268463310,0,1,0,0,0,0,2.5309466358147628
30384364,11061186417,0,1,0,0,0,0,0.3136120630429572
30384388,30879391,0,3,0,0,0,0,1.4860171656078487
30384393,31062132,0,1,0,0,0,0,6.221129334329854
30384408,31062260,0,1,3,0,1,0,2.0628919337613176
30384659,274179181,0,1,0,0,0,0,3.780174967335803
30384659,5008603024,0,3,0,0,0,0,2.455959703182005
30384665,274182982,0,5,16,1,2,1,1.8800568791088206
30384687,30339698,0,7,3,0,1,0,4.078405968763847
30384687,274840669,0,10,16,1,2,1,3.4531326297532723
30384689,4523950418,0,5,10,1,0,1,0.9663774437212489
30384694,30341127,0,2,3,0,1,0,0.028692607775921843
30384694,306624723,0,1,3,0,1,0,0.2688072287669549
30384707,268383850,0,15,12,0,4,0,1.1416178919699642
30384707,2461257713,0,3,0,0,0,0,2.357567287790246
30384721,30384725,0,2,3,0,1,0,0.7193408055639163
30384725,31241377,0,1,0,0,0,0,3.0628617072067024
30385287,841724115,0,7,6,0,2,0,5.309405828536974
30385291,3179081379,0,2,3,0,1,0,1.4923100797950124
30385296,268384492,0,1,0,0,0,0,5.614279702386167
30385298,30385296,0,2,0,0,0,0,5.863642822370391
30385298,268499917,0,17,15,0,5,0,4.0738900774084605
30385336,30385335,0,1,0,0,0,0,0.13295908772472687
30385344,275408452,0,1,0,0,0,0,1.6036055560765703
30385344,275440984,0,1,0,0,0,0,3.2514206284683502
30385346,270504197,0,1,0,0,0,0,5.713129823696889
30385350,6135446075,0,1,0,0,0,0,2.6961335223746916
30385352,30879879,0,1,3,0,1,0,4.342000357154154
30385356,274841385,0,1,0,0,0,0,6.149455383485071
30385360,5476240716,0,1,0,0,0,0,4.254204757814392
30385361,30340905,0,7,0,0,0,0,2.3040921268232504
30385366,30340088,0,2,0,0,0,0,0.5133760256690123
30385367,30758914,0,1,0,0,0,0,0.7223385633140088
30385368,30758971,0,2,0,0,0,0,0.44903565416613306
30385379,268824115,0,1,0,0,0,0,4.0405001069098265
30385387,30385377,0,1,0,0,0,0,1.1250820480870443
30412890,7873528212,0,14,3,0,1,0,4.438956972884325
30413524,1405530287,0,1,3,0,1,0,0.0686877987814901
30454721,31062256,0,1,0,0,0,0,3.0184070097767925
30454732,274850636,0,6,6,0,2,0,0.6239509944298725
30533474,667179199,0,1,0,0,0,0,5.113174453579719
