id,latitud,longitud,cluster_dbscan,riesgo_cluster
3162,19.46367,-99.16095,-1,0.0
3163,19.46757,-99.14636,-1,0.0
3164,19.48051,-99.20419,-1,0.0
3165,19.4636,-99.14774,1,55.75379125780553
3166,19.48921,-99.19951,-1,0.0
3167,19.47807,-99.19224,-1,0.0
3168,19.46305,-99.1856,-1,0.0
3169,19.45876,-99.18263,292,50.282485875706215
3170,19.46819,-99.17616,0,51.45703241153732
3171,19.50066,-99.19993,-1,0.0
3172,19.48156,-99.19517,-1,0.0
3173,19.4907,-99.17347,-1,0.0
3174,19.48684,-99.16729,-1,0.0
3175,19.50387,-99.18322,-1,0.0
3176,19.48114,-99.17467,-1,0.0
3177,19.47146,-99.1661,24,50.282485875706215
3178,19.47898,-99.09782,15,50.728516205768656
3179,19.48987,-99.19469,16,50.460898007731195
3180,19.48098,-99.19133,12,51.30835563484984
3181,19.47529,-99.14668,2,51.858459708593514
3182,19.48144,-99.18353,10,50.26761819803747
3183,19.4891,-99.20383,-1,0.0
3485,19.48518,-99.20865,-1,0.0
3486,19.46274,-99.18003,-1,0.0
3487,19.4907,-99.17347,-1,0.0
3488,19.49089,-99.16629,-1,0.0
3489,19.48374,-99.20335,-1,0.0
3490,19.483,-99.18311,10,50.26761819803747
3491,19.48041,-99.21778,-1,0.0
3492,19.47269,-99.18925,262,50.32708890871246
3493,19.48374,-99.20335,-1,0.0
3494,19.48889,-99.15184,105,50.26761819803747
3495,19.46392,-99.14662,1,55.75379125780553
3496,19.48897,-99.19364,16,50.460898007731195
3497,19.46001,-99.16953,-1,0.0
3498,19.47269,-99.18925,262,50.32708890871246
3500,19.47029,-99.17999,0,51.45703241153732
3511,19.47311,-99.14589,2,51.858459708593514
3512,19.50117,-99.11771,17,50.728516205768656
3513,19.48038,-99.19214,12,51.30835563484984
3514,19.4858,-99.20255,-1,0.0
3516,19.47899,-99.18869,12,51.30835563484984
3517,19.46974,-99.14969,-1,0.0
3518,19.47263,-99.15277,2,51.858459708593514
3519,19.4955,-99.186,-1,0.0
3520,19.49275,-99.18732,-1,0.0
3521,19.49264,-99.18685,-1,0.0
3522,19.48019,-99.18897,12,51.30835563484984
3523,19.48987,-99.19469,16,50.460898007731195
3524,19.49387,-99.19308,-1,0.0
3525,19.47899,-99.18868,12,51.30835563484984
3526,19.46819,-99.17616,0,51.45703241153732
3527,19.47273,-99.14741,2,51.858459708593514
3528,19.47922,-99.19595,-1,0.0
3529,19.49589,-99.17079,-1,0.0
4357,19.468,-99.167,-1,0.0
4358,19.48708,-99.2162,-1,0.0
4765,19.47917,-99.17944,-1,0.0
4766,19.49823,-99.18959,-1,0.0
4767,19.44208,-99.21589,4,50.579839429081176
4768,19.49246,-99.20706,-1,0.0
4769,19.48242,-99.20955,-1,0.0
4770,19.47311,-99.14589,2,51.858459708593514
4771,19.48649,-99.18213,-1,0.0
4772,19.48941,-99.21645,-1,0.0
4773,19.5007,-99.17522,-1,0.0
4904,19.49983,-99.15807,-1,0.0
4905,19.45936,-99.09968,18,50.4014272970562
4906,19.48018,-99.18896,12,51.30835563484984
4907,19.47445,-99.19495,-1,0.0
4908,19.46819,-99.17616,0,51.45703241153732
4909,19.47899,-99.18868,12,51.30835563484984
4910,19.48229,-99.19766,263,50.26761819803747
4911,19.47311,-99.1459,2,51.858459708593514
4912,19.47685,-99.15381,-1,0.0
4913,19.48057,-99.19074,12,51.30835563484984
4914,19.5107,-99.19176,-1,0.0
4915,19.48052,-99.20553,-1,0.0
4916,19.49474,-99.1983,13,50.460898007731195
4917,19.49678,-99.18479,-1,0.0
4918,19.5007,-99.17523,-1,0.0
4919,19.47961,-99.14939,-1,0.0
4920,19.50544,-99.19081,-1,0.0
4921,19.46756,-99.18649,-1,0.0
4922,19.50285,-99.15718,19,50.431162652393695
4923,19.48291,-99.20021,-1,0.0
4924,19.47314,-99.15805,136,50.431162652393695
4925,19.45486,-99.15775,-1,0.0
4926,19.48988,-99.19468,16,50.460898007731195
4927,19.46307,-99.15973,-1,0.0
5235,19.47311,-99.1459,2,51.858459708593514
5236,19.46574,-99.18898,-1,0.0
5237,19.46149,-99.17088,-1,0.0
5238,19.47349,-99.20481,-1,0.0
5239,19.46862,-99.18012,0,51.45703241153732
5240,19.46307,-99.15973,-1,0.0
5241,19.49099,-99.17257,-1,0.0
5242,19.47758,-99.18881,12,51.30835563484984
5243,19.48095,-99.18997,12,51.30835563484984
5244,19.5007,-99.17523,-1,0.0
5245,19.47388,-99.16168,-1,0.0
5246,19.49619,-99.15895,-1,0.0
5247,19.48987,-99.19469,16,50.460898007731195
5249,19.50763,-99.19381,-1,0.0
5250,19.46082,-99.17049,-1,0.0
5251,19.46295,-99.15083,1,55.75379125780553
5252,19.47891,-99.17826,-1,0.0
5437,19.47465,-99.17347,275,50.25275052036872
5438,19.47933,-99.21739,-1,0.0
5439,19.46367,-99.16095,-1,0.0
5440,19.50387,-99.18322,-1,0.0
5441,19.48262,-99.15396,-1,0.0
5442,19.45894,-99.15884,-1,0.0
5444,19.46635,-99.18985,-1,0.0
5445,19.46782,-99.18972,-1,0.0
5447,19.4706,-99.17864,0,51.45703241153732
