u,v,key,peso_distancia,peso_balanceado,peso_seguro
30340994,268840695,0,48.8574,58.4761,68.0948
30340994,268616414,0,282.7287,336.1676,389.6064
30340995,274184902,0,45.1739,60.9919,76.81
30340995,8397961351,0,287.3343,449.465,611.5958
30340996,6136097387,0,209.7795,287.6181,365.4566
30340996,30340997,0,106.8717,118.9601,131.0485
30340997,268860327,0,119.411,132.9177,146.4245
30340997,274184624,0,46.7894,52.8636,58.9378
30340998,842889546,0,137.0656,163.4655,189.8655
30340998,30340999,0,66.3177,76.6523,86.9868
30340999,8081674785,0,87.6668,102.1056,116.5445
30340999,842889546,0,151.85,170.7182,189.5865
30340999,268512387,0,110.5895,124.3309,138.0723
30340999,30341000,0,60.5582,104.9301,149.302
30341000,5840582514,0,54.3811,57.5641,60.7471
30341000,8081674790,0,71.9769,76.1898,80.4028
30341001,268863211,0,66.8479,82.5155,98.183
30341001,268863264,0,139.1358,171.7459,204.3559
30341002,268511174,0,90.3343,116.0891,141.8439
30341002,268860775,0,74.321,86.5886,98.8562
30341004,268861657,0,113.1625,138.385,163.6075
30341005,268500467,0,17.4626,25.5974,33.7322
30341005,268615854,0,296.183,357.8294,419.4758
30341007,268510356,0,100.7107,132.8934,165.076
30341007,269832531,0,115.4022,140.1839,164.9657
30341009,269834077,0,105.2095,131.6655,158.1215
30341009,269965177,0,60.6456,75.3266,90.0076
30341010,269957262,0,169.9264,209.7709,249.6154
30341010,30341011,0,93.8313,108.4095,122.9878
30341011,269830435,0,106.9281,136.5625,166.1969
30341011,30341012,0,92.6603,113.1492,133.6381
30341012,30341013,0,90.2806,109.0713,127.862
30341012,3772750754,0,272.5821,334.6381,396.6941
30341013,269830124,0,104.734,130.8508,156.9677
30341013,2434287917,0,160.6922,187.6044,214.5165
30341019,30956999,0,96.6143,124.571,152.5277
30341021,269989724,0,272.105,333.1663,394.2276
30341021,269994753,0,119.7156,146.5836,173.4516
30341025,30341026,0,45.0,49.944,54.888
30341025,30341038,0,91.8178,101.9055,111.9932
30341026,30341027,0,87.1967,96.7767,106.3567
30341026,30594514,0,90.7923,100.7673,110.7423
30341027,30341028,0,136.9013,168.0898,199.2783
30341027,30341033,0,89.9597,110.454,130.9484
30341028,30341029,0,138.0077,259.9015,381.7953
30341028,30758688,0,88.9584,125.3081,161.6578
30341029,9201266654,0,61.0064,104.2566,147.5069
30341029,30341041,0,91.0208,155.5496,220.0784
30341031,30758743,0,62.5494,80.7287,98.908
30341031,30758735,0,80.2907,89.11,97.9292
30341031,30341032,0,91.7009,118.3527,145.0045
30341032,30594514,0,84.5549,119.1052,153.6555
30341032,30341027,0,90.6278,111.2744,131.921
30341033,30341039,0,88.0167,97.6868,107.3568
30341033,30340092,0,89.6036,90.8348,92.0661
30341035,275512954,0,66.1096,73.4594,80.8092
30341035,275513139,0,46.5653,51.6994,56.8336
30341035,5460574818,0,257.724,332.9722,408.2205
30341037,30339673,0,90.607,100.6791,110.7512
30341038,30385334,0,92.098,102.9565,113.815
30341038,30341037,0,54.5661,61.7093,68.8525
30341039,30341038,0,45.7301,50.7543,55.7785
30341039,30341026,0,90.9899,100.9867,110.9835
30341040,30341033,0,138.3075,169.8164,201.3252
30341040,30341028,0,90.7285,127.8014,164.8744
30341041,30340094,0,87.7091,89.9908,92.2724
30341041,30341040,0,136.9674,161.7307,186.494
30341094,276310071,0,43.3989,52.518,61.637
30341097,11155081804,0,8.8206,9.9128,11.0049
30341097,275513413,0,27.7243,31.1572,34.59
30341098,30341097,0,93.5394,105.1216,116.7037
30341098,275513410,0,87.3237,97.6983,108.073
30341099,30341098,0,121.4678,123.8377,126.2076
30341101,30341099,0,243.9644,317.8811,391.7979
30341101,31162765,0,66.3128,67.4232,68.5336
30341103,11155081791,0,9.1634,9.1973,9.2312
30341103,30341101,0,263.0546,310.6141,358.1736
30341106,275512057,0,26.2982,30.255,34.2119
30341106,30384293,0,31.0631,35.7369,40.4107
30341108,30385361,0,80.9774,91.0301,101.0829
30341108,30340084,0,202.3477,228.5269,254.706
30341113,11155081772,0,8.6843,13.8364,18.9886
30341113,30759078,0,205.4621,231.0928,256.7234
30341117,30789560,0,81.5794,92.8733,104.1672
30341117,31180761,0,356.0288,469.6865,583.3442
30341122,30789564,0,81.0189,81.0189,81.0189
30341122,11155081751,0,9.7354,9.7354,9.7354
30341122,268824578,0,199.7369,199.7369,199.7369
30341125,11155081741,0,9.7644,11.0542,12.3441
30341125,30594125,0,221.0398,244.7947,268.5495
30341126,11155081739,0,10.2828,11.5271,12.7715
30341126,900987351,0,117.9217,131.3973,144.8728
30341127,1975843092,0,150.2268,167.4284,184.63
30341127,30341126,0,120.4009,134.7822,149.1635
30341128,6135321108,0,134.6503,139.9045,145.1587
30341128,30384694,0,101.6753,105.6427,109.6102
30341133,268312120,0,36.6256,41.4913,46.357
30341135,11155081717,0,8.5503,8.6615,8.7727
30341135,268327864,0,98.7981,109.263,119.7278
30341136,11155081716,0,8.6529,14.9664,21.28
30341136,30341135,0,100.3844,173.6296,246.8747
30341141,11155081707,0,9.5833,11.9565,14.3297
30341141,268261499,0,148.4855,185.257,222.0285
30341146,268384050,0,13.8281,17.7443,21.6605
30341146,3735241079,0,220.7953,269.8686,318.942
30341147,30341146,0,101.4231,133.3691,165.3151
30341147,268384011,0,108.7555,162.0837,215.412
30341148,30341147,0,112.2531,142.5251,172.797
30341148,268384011,0,69.2433,103.1967,137.1501
30341162,8048695789,0,172.19,192.3194,212.4488
30341162,274846658,0,60.8175,67.5316,74.2458
30341164,3750063273,0,109.7998,122.2232,134.6467
30341164,1420541228,0,130.8511,145.6565,160.4618
30341168,268385177,0,15.456,15.456,15.456
30341168,31183335,0,149.7544,157.022,164.2897
30341178,275418138,0,17.7409,27.3491,36.9573
30341178,275418139,0,16.8781,25.6896,34.5012
30341178,275416601,0,232.3909,275.7458,319.1006
30341202,8204815779,0,108.8577,165.4571,222.0566
30341202,30341203,0,119.591,133.6565,147.722
30341203,290758213,0,14.3359,15.887,17.438
30341203,796963037,0,12.1482,13.419,14.6897
30341215,1135292499,0,184.7302,205.9744,227.2186
30341249,667167782,0,31.993,37.2246,42.4563
30341249,30341250,0,19.6474,21.7203,23.7931
30341250,2493619599,0,17.2706,19.5321,21.7935
30341253,7917488439,0,7.7624,8.6398,9.5173
30341253,3447245985,0,83.8227,93.2112,102.5998
30341606,275046267,0,1003.6954,1110.6997,1217.704
30341608,275047467,0,61.5926,61.6756,61.7587
30341608,30341606,0,212.2888,212.5751,212.8614
30341625,3688299670,0,1236.0339,1951.7249,2667.416
30379440,275032291,0,864.8452,1598.5149,2332.1847
30379440,275033276,0,320.3908,413.3524,506.314
30379442,30379440,0,86.3035,98.0313,109.7591
30379444,30379442,0,162.6466,171.1087,179.5709
30379463,7873300698,0,404.0106,448.6088,493.2071
30379463,7873061122,0,92.237,118.9733,145.7095
30379465,2507500720,0,144.0348,160.0947,176.1546
30379465,1120149709,0,308.6227,396.6951,484.7676
30379503,7876026294,0,394.1758,508.1141,622.0524
30379503,7876147976,0,64.6952,79.8928,95.0904
30379599,272554345,0,113.0399,114.5102,115.9805
30379599,2302206302,0,10.0792,10.0792,10.0792
30379600,272554344,0,101.7762,101.8297,101.8831
30379600,6887658726,0,12.6163,12.7049,12.7936
30379611,7869560404,0,25.2945,28.1215,30.9486
30379611,272430394,0,61.1085,67.6947,74.2809
30379615,63998912,0,13.1779,14.6373,16.0967
30379615,7869922136,0,35.4996,41.9893,48.479
30379619,11189255120,0,20.5553,22.708,24.8608
30379619,8100315342,0,43.1391,47.6571,52.1751
30380253,3688292475,0,46.0446,46.7872,47.5299
30380271,7955057803,0,346.4664,348.7196,350.9728
30380275,275053835,0,126.7297,126.7345,126.7393
30380275,30380271,0,329.464,329.464,329.464
30380294,3695742824,0,476.9015,504.8152,532.7289
30380294,3688236890,0,75.0428,77.9823,80.9218
30380301,30380294,0,571.531,652.0791,732.6272
30380316,8085947214,0,15.9195,16.2301,16.5407
30380316,3732209406,0,616.8107,683.2496,749.6885
30380838,276311345,0,168.4523,168.4862,168.5201
30380838,276311455,0,181.539,182.7196,183.9002
30380838,276310969,0,72.4771,72.4917,72.5063
30380889,434305025,0,158.4137,159.689,160.9642
30380889,30879997,0,261.8889,309.6045,357.3202
30380894,12295926482,0,33.0884,54.1769,75.2655
30380894,30880055,0,278.5966,388.6666,498.7367
30380906,30380838,0,49.821,49.8311,49.8411
30380906,276310721,0,162.9622,162.995,163.0278
30380906,276312262,0,140.5108,140.5391,140.5674
30380908,11155093909,0,7.76,7.9794,8.1987
30380908,8605863657,0,181.3694,186.4968,191.6243
30380974,1405252272,0,100.508,111.2277,121.9475
30380974,8116806163,0,305.6899,365.6322,425.5745
30381023,7635328720,0,49.6019,54.8243,60.0467
30381023,290836642,0,403.8968,403.8968,403.8968
30381059,553028473,0,94.9767,105.1323,115.2879
30381116,1406536468,0,104.2766,116.1367,127.9969
30381118,386292903,0,33.495,37.1548,40.8146
30381118,386292904,0,84.5625,93.8021,103.0417
30381123,30381130,0,384.4301,428.8056,473.181
30381130,268902410,0,125.4939,125.8156,126.1373
30381170,9918298177,0,29.016,32.2174,35.4187
30381170,13269502983,0,64.9115,74.9841,85.0567
30381178,1402648722,0,108.4184,120.3803,132.3421
30381178,30381180,0,231.2314,259.6412,288.0511
30381180,1380253917,0,37.0181,45.8911,54.7642
30381180,30381185,0,306.3252,402.8807,499.4362
30381185,30381191,0,598.4433,702.9233,807.4032
30381191,30381196,0,207.1096,241.5122,275.9147
30381196,30381546,0,174.1056,195.4394,216.7732
30381196,30381199,0,30.9891,35.0263,39.0635
30381199,386254069,0,95.6842,106.7864,117.8887
30381199,268902306,0,336.8835,393.8314,450.7793
30381210,8751340695,0,35.6601,35.892,36.1239
30381210,12912266084,0,97.8049,108.7386,119.6723
30381292,1409559756,0,18.9069,24.2243,29.5416
30381292,1409559768,0,369.047,425.3618,481.6766
30381321,1397756624,0,155.5876,172.8295,190.0715
30381321,1397756619,0,43.6883,49.9412,56.1942
30381324,11060778240,0,118.735,132.549,146.363
30381328,276059721,0,119.9123,133.5136,147.1149
30381328,434303477,0,51.6073,58.214,64.8206
30381346,270608815,0,87.481,87.4894,87.4979
30381346,30381347,0,71.9516,71.9585,71.9655
30381347,274924942,0,94.5119,94.7263,94.9406
30381347,274923776,0,80.9735,95.621,110.2686
30381350,274923106,0,53.2877,59.925,66.5624
30381350,30381352,0,145.9466,162.7698,179.5929
30381352,274921466,0,98.1677,109.4834,120.7991
30381352,1395878640,0,71.6718,81.1145,90.5572
30381360,8099755831,0,210.1869,233.0453,255.9037
30381360,268716443,0,35.5574,40.8597,46.162
30381374,274848857,0,158.881,220.6712,282.4614
30381374,30381377,0,162.1534,196.954,231.7546
30381377,1409559470,0,58.2787,70.7861,83.2936
30381377,30384362,0,28.2908,39.2473,50.2038
30381433,268447503,0,17.9865,21.7301,25.4738
30381433,268437527,0,107.0296,133.4801,159.9306
30381460,268437867,0,18.5197,24.8526,31.1854
30381460,848492675,0,91.5868,122.9049,154.2231
30381473,1383642142,0,742.8644,791.8189,840.7734
30381473,268523931,0,97.7139,109.4732,121.2326
30381473,30381476,0,292.5444,379.9329,467.3213
30381476,268523931,0,247.5701,321.524,395.4778
30381476,1383642120,0,248.1549,256.4389,264.7228
30381481,270287664,0,61.7395,62.7253,63.7112
30381481,270287589,0,109.7281,109.7335,109.739
30381485,30381487,0,196.5318,241.0944,285.6571
30381485,270285527,0,120.2913,149.3273,178.3632
30381487,268620409,0,15.9544,18.7802,21.606
30381487,30381488,0,70.3966,82.8649,95.3332
30381488,270284750,0,115.3819,139.953,164.5241
30381488,270284931,0,61.8515,75.0231,88.1947
30381490,270284527,0,81.428,98.7375,116.0469
30381490,270110517,0,208.8933,253.2986,297.7038
30381496,270110220,0,143.5556,174.9894,206.4233
30381496,270105704,0,113.2096,145.5832,177.9568
30381498,268531832,0,16.7299,17.3837,18.0375
30381498,30381499,0,183.942,223.2132,262.4844
30381499,270215416,0,104.5092,132.1584,159.8075
30381499,7911203927,0,174.1183,220.1834,266.2486
30381501,270215233,0,106.2011,130.1591,154.1172
30381501,270214685,0,247.1695,457.1176,667.0656
30381504,3750511588,0,94.2868,113.909,133.5312
30381504,5832540260,0,55.2269,67.7445,80.2621
30381507,268451075,0,67.295,84.1168,100.9386
30381546,9916128006,0,412.8649,468.8351,524.8053
30383112,669971810,0,85.3962,95.1652,104.9342
30383112,10793546677,0,80.7772,90.0179,99.2585
30383112,8246927093,0,92.1379,118.7372,145.3365
30383121,30383167,0,104.866,104.8699,104.8739
30383130,674227019,0,79.1477,88.1224,97.0971
30383130,4619218331,0,846.1126,1011.2004,1176.2883
30383140,1130113585,0,17.9387,20.1002,22.2617
30383140,8251259398,0,24.4643,27.4121,30.3599
30383140,30383142,0,79.4467,89.0195,98.5922
30383142,30383189,0,13.1079,14.6873,16.2667
30383142,30383140,0,79.4467,89.0195,98.5922
30383142,331504259,0,199.4698,220.4184,241.3671
30383167,676040403,0,17.3136,17.3747,17.4358
30383167,676042826,0,97.2431,97.5862,97.9293
30383167,331503660,0,108.5338,108.5338,108.5338
30383176,30383281,0,85.0983,85.0983,85.0983
30383176,331503846,0,190.1396,190.1396,190.1396
30383182,3570049605,0,164.5546,194.3056,224.0566
30383182,676042783,0,60.4248,71.3494,82.2741
30383189,30383142,0,13.1079,14.6873,16.2667
30383189,30383121,0,199.8076,201.1146,202.4215
30383196,3429561910,0,53.256,62.8865,72.5171
30383196,331504721,0,68.7698,81.2058,93.6418
30383201,30383196,0,66.1707,78.1366,90.1026
30383201,30383230,0,205.2856,263.9601,322.6346
30383204,30383201,0,57.526,67.9287,78.3314
30383204,5127979727,0,139.7432,165.0083,190.2735
30383206,30383204,0,34.2991,40.5003,46.7015
30383206,8239692047,0,175.335,207.0416,238.7482
30383210,5128000337,0,8.5822,12.6825,16.7829
30383210,676042770,0,219.9067,324.9712,430.0357
30383217,3078336501,0,144.0986,170.1512,196.2038
30383217,6133336987,0,117.6655,138.9391,160.2126
30383217,6184109959,0,141.5152,167.1008,192.6863
30383217,3078336503,0,181.4092,214.2074,247.0056
30383224,8337597895,0,7.1748,8.4719,9.7691
30383224,8337898924,0,7.9974,9.4433,10.8892
30383224,669959810,0,32.4854,38.3586,44.2319
30383230,30383201,0,205.2856,263.9601,322.6346
30383245,6396975963,0,80.5094,95.1338,109.7582
30383245,6396863768,0,23.6297,27.922,32.2143
30383245,8236339797,0,162.8431,192.4232,222.0034
30383281,8338404410,0,56.7747,67.0393,77.304
30383281,8336670116,0,45.1705,45.1705,45.1705
30383305,3570049605,0,55.3671,65.3794,75.3917
30383305,6184109961,0,73.0445,86.2507,99.4569
30383306,6184109973,0,33.4481,39.4954,45.5427
30383306,30383310,0,170.9538,201.8617,232.7696
30383310,3570049615,0,67.106,79.2385,91.3711
30383310,8338404410,0,28.8947,34.1188,39.3429
30383316,676037300,0,127.7862,127.7862,127.7862
30383316,676040447,0,109.866,109.866,109.866
30383427,666051956,0,93.5287,93.5287,93.5287
30383430,666126121,0,315.7675,427.4097,539.052
30383430,6119937820,0,90.9273,107.8132,124.6991
30383437,884211855,0,107.6535,107.6535,107.6535
30383437,6182579164,0,118.422,118.4702,118.5184
30383451,6105002589,0,31.4728,31.9697,32.4666
30383451,1171454728,0,40.8904,41.536,42.1816
30383456,667120323,0,11.5294,12.9241,14.3189
30383456,667123825,0,113.1941,126.8877,140.5814
30383461,1415534876,0,37.487,41.7273,45.9677
30383461,8231047598,0,218.5677,281.4911,344.4144
30383465,1415534926,0,220.3478,262.8096,305.2714
30383465,30341249,0,26.8753,30.9437,35.012
30383481,8292691521,0,11.468,13.3433,15.2186
30383481,30341250,0,61.8574,68.3834,74.9094
30383483,2493619630,0,14.8192,17.5192,20.2192
30383483,2922631091,0,12.6797,14.99,17.3002
30383483,30383481,0,183.0866,235.411,287.7354
30383486,2922631094,0,19.807,23.9161,28.0253
30383486,8789609706,0,55.4806,66.9905,78.5003
30383488,2263374415,0,9.7975,10.0587,10.3199
30383488,2922631092,0,12.3409,12.6699,12.9989
30383488,8257508032,0,54.0098,55.4497,56.8896
30383489,3248442437,0,6.3843,6.5545,6.7247
30383489,2493619641,0,16.6395,17.0831,17.5267
30383493,667167715,0,13.4086,14.9727,16.5369
30383493,3248442438,0,200.2977,201.713,203.1284
